Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
Source[1],384PP_AQ_BP,A1,Destination[1],A6,175.0
Source[1],384PP_AQ_BP,P1,Destination[1],A6,75.0
Source[1],384PP_AQ_BP,P2,Destination[1],A6,175.0
Source[1],384PP_AQ_BP,P3,Destination[1],A6,100.0
Source[1],384PP_AQ_BP,P6,Destination[1],A6,75.0
Source[1],384PP_AQ_BP,P8,Destination[1],A6,100.0
Source[1],384PP_AQ_BP,P9,Destination[1],A6,50.0
Source[1],384PP_AQ_BP,A1,Destination[1],B6,350.0
Source[1],384PP_AQ_BP,P1,Destination[1],B6,75.0
Source[1],384PP_AQ_BP,P3,Destination[1],B6,100.0
Source[1],384PP_AQ_BP,P6,Destination[1],B6,75.0
Source[1],384PP_AQ_BP,P8,Destination[1],B6,100.0
Source[1],384PP_AQ_BP,P9,Destination[1],B6,50.0
Source[1],384PP_AQ_BP,A1,Destination[1],C6,750.0
Source[1],384PP_AQ_BP,K24,Destination[1],A6,2250.0
Source[1],384PP_AQ_BP,K24,Destination[1],B6,2250.0
Source[1],384PP_AQ_BP,K24,Destination[1],C6,2250.0
